sku,date,price,note
CARD-0021,2025-01-12,55.00,eBay sold (Terapeak 2yr): 2019 Prizm Tony Pollard Rookie Auto RC #339 PSA 10 - only sale of this exact card
CARD-0022,2024-09-14,152.49,eBay sold (Terapeak 2yr): Donruss Elite Turn of the Century Auto Bijan Robinson /249
CARD-0022,2024-09-28,124.50,eBay sold (Terapeak 2yr): Donruss Elite Turn of the Century Auto Bijan Robinson /249
CARD-0022,2024-11-23,255.00,eBay sold (Terapeak 2yr): Donruss Elite Turn of the Century Auto Bijan Robinson /249
CARD-0022,2025-04-14,255.00,eBay sold (Terapeak 2yr): Donruss Elite Bijan Robinson Turn of the Century Auto
CARD-0022,2025-07-24,150.00,eBay sold (Terapeak 2yr): Donruss Elite Turn of the Century Auto Bijan Robinson /249
CARD-0026,2026-06-13,60.00,"eBay sold (Terapeak 90d): Panini Instant LeBron/Wembanyama #371 PSA - low outlier, likely a lesser grade"
CARD-0026,2026-06-14,149.00,eBay sold (Terapeak 90d): 2023 Panini Instant #371 LeBron James/Victor Wembanyama
CARD-0026,2026-06-19,185.00,"eBay sold (Terapeak 90d): 2023-24 Panini Instant LeBron James, Victor Wembanyama #371"
CARD-0026,2026-07-18,200.00,eBay sold (Terapeak 90d): 2023 Panini #371 LeBron James vs Wembanyama rookie card
CARD-0026,2026-07-24,177.50,"eBay sold (Terapeak 90d): 2023-24 Panini Instant LeBron James, Victor Wembanyama #371"
CARD-0026,2026-07-31,175.00,eBay sold (Terapeak 90d): 2023-24 Panini Instant LeBron James / Victor Wembanyama
CARD-0026,2026-08-11,190.00,eBay sold (Terapeak 90d): 2023-24 Victor Wembanyama Rookie LeBron James #371 PSA
CARD-0026,2026-09-03,165.00,"eBay sold (Terapeak 90d): 2023-24 Panini Instant LeBron James, Victor Wembanyama #371"
CARD-0018,2024-10-16,22.50,eBay sold (Terapeak 2yr): Rookies & Stars Thrillers PINK #TH13 Anthony Richardson
CARD-0018,2024-11-19,35.00,eBay sold (Terapeak 2yr): Rookies & Stars #TH-13 Thrillers Pandora Anthony Richardson
CARD-0018,2025-01-25,21.50,eBay sold (Terapeak 2yr): Rookies & Stars Anthony Richardson Thrillers Black Pandora
CARD-0018,2025-05-01,45.00,eBay sold (Terapeak 2yr): Rookies & Stars Anthony Richardson Thrillers Black Pandora
CARD-0018,2025-07-13,19.95,eBay sold (Terapeak 2yr): Rookies & Stars Anthony Richardson Pandora Thrillers /75
CARD-0018,2025-08-05,17.50,eBay sold (Terapeak 2yr): Rookies & Stars Thrillers Pandora Anthony Richardson
CARD-0018,2025-11-28,3.00,eBay sold (Terapeak 2yr): Rookies & Stars Thrillers Anthony Richardson
