date,sku,price,basis,median,count,source,applied,kind
2026-07-15,CARD-0001,6.99,asking,7.99,50,active,no,market
2026-07-15,CARD-0002,2.20,asking,2.50,25,active,yes,market
2026-07-15,CARD-0003,4.39,asking,4.99,50,active,yes,market
2026-07-15,CARD-0004,1.32,asking,1.50,50,active,yes,market
2026-07-15,CARD-0005,1.75,asking,1.99,31,active,yes,market
2026-07-15,CARD-0006,1.98,asking,2.25,13,active,yes,market
2026-07-15,CARD-0007,1.31,asking,1.49,50,active,yes,market
2026-07-15,CARD-0008,1.75,asking,1.99,36,active,yes,market
2026-07-15,CARD-0009,5.25,asking,5.97,50,active,yes,market
2026-07-15,CARD-0010,2.10,asking,2.39,50,active,yes,market
2026-07-15,CARD-0011,12.99,asking,9.99,1,active,no,market
2026-07-15,CARD-0012,48.39,asking,54.99,7,active,yes,market
2026-07-15,CARD-0013,59.99,asking,77.00,1,active,no,market
2026-07-15,CARD-0014,49.99,asking,10.99,28,active,no,market
2026-07-15,CARD-0015,42.23,asking,47.99,5,active,yes,market
2026-07-15,CARD-0016,39.99,asking,52.50,50,active,no,market
2026-07-15,CARD-0017,30.80,asking,35.00,50,active,yes,market
2026-07-15,CARD-0018,74.99,asking,89.99,2,active,no,market
2026-07-15,CARD-0019,136.40,asking,155.00,30,active,yes,market
2026-07-15,CARD-0020,57.19,asking,64.99,4,active,yes,market
2026-07-15,CARD-0021,189.00,asking,885.00,3,active,no,market
2026-07-15,CARD-0022,349.00,asking,,0,active,no,market
2026-07-15,CARD-0023,24.99,asking,39.99,50,active,no,market
2026-07-15,CARD-0024,99.00,asking,124.50,2,active,no,market
2026-07-15,CARD-0025,29.99,asking,33.77,10,active,no,market
2026-07-15,CARD-0026,182.60,asking,207.50,4,active,yes,market
2026-07-15,CARD-0027,39.27,asking,44.63,18,active,yes,market
2026-07-15,CARD-0028,99.00,asking,178.58,50,active,no,market
2026-07-15,CARD-0029,249.00,asking,279.95,1,active,no,market
2026-07-15,CARD-0030,149.00,asking,300.00,30,active,no,market
2026-07-15,CARD-0031,57.20,asking,65.00,50,active,yes,market
2026-07-15,CARD-0032,199.00,asking,974.50,50,active,no,market
2026-07-15,MERCH-0001,124.99,asking,117.00,50,active,no,market
2026-07-15,MERCH-0002,349.99,asking,409.99,50,active,no,market
2026-07-23,CARD-0001,6.99,asking,9.49,50,active,no,market
2026-07-23,CARD-0002,2.20,est_sold,2.50,26,active,no,market
2026-07-23,CARD-0003,5.27,est_sold,5.99,50,active,yes,market
2026-07-23,CARD-0004,1.51,est_sold,1.72,50,active,yes,market
2026-07-23,CARD-0005,1.75,est_sold,1.99,29,active,no,market
2026-07-23,CARD-0006,1.98,est_sold,2.25,14,active,no,market
2026-07-23,CARD-0007,1.31,est_sold,1.49,50,active,no,market
2026-07-23,CARD-0008,1.75,est_sold,1.99,37,active,no,market
2026-07-23,CARD-0009,4.38,est_sold,4.97,50,active,yes,market
2026-07-23,CARD-0010,2.58,est_sold,2.93,50,active,yes,market
2026-07-23,CARD-0011,12.99,asking,9.99,1,active,no,market
2026-07-23,CARD-0012,48.39,est_sold,54.99,7,active,no,market
2026-07-23,CARD-0013,59.99,asking,77.00,1,active,no,market
2026-07-23,CARD-0014,49.99,asking,10.99,28,active,no,market
2026-07-23,CARD-0015,47.51,est_sold,53.99,6,active,yes,market
2026-07-23,CARD-0016,39.99,asking,29.99,1,active,no,market
2026-07-23,CARD-0017,34.14,est_sold,38.79,50,active,yes,market
2026-07-23,CARD-0018,74.99,asking,89.99,2,active,no,market
2026-07-23,CARD-0019,158.40,est_sold,180.00,26,active,yes,market
2026-07-23,CARD-0020,57.19,est_sold,64.99,4,active,no,market
2026-07-23,CARD-0021,189.00,asking,885.00,3,active,no,market
2026-07-23,CARD-0022,349.00,asking,,0,active,no,market
2026-07-23,CARD-0023,24.99,asking,54.99,50,active,no,market
2026-07-23,CARD-0024,87.12,asking,99.00,3,active,yes,market
2026-07-23,CARD-0025,29.66,asking,33.70,10,active,yes,market
2026-07-23,CARD-0026,182.60,est_sold,207.50,4,active,no,market
2026-07-23,CARD-0027,39.27,est_sold,44.63,18,active,no,market
2026-07-23,CARD-0028,99.00,asking,185.00,49,active,no,market
2026-07-23,CARD-0029,249.00,asking,289.97,2,active,no,market
2026-07-23,CARD-0030,149.00,asking,300.00,30,active,no,market
2026-07-23,CARD-0031,43.99,est_sold,49.99,50,active,yes,market
2026-07-23,CARD-0032,199.00,asking,962.00,50,active,no,market
2026-07-23,MERCH-0001,124.99,asking,100.00,50,active,no,market
2026-07-23,MERCH-0002,349.99,asking,437.50,50,active,no,market
2026-09-09,CARD-0001,6.99,asking,8.50,50,active,no,market
2026-09-09,CARD-0002,2.20,est_sold,0.99,1,active,no,market
2026-09-09,CARD-0003,5.27,est_sold,3.49,27,active,no,market
2026-09-09,CARD-0004,1.36,est_sold,1.54,12,active,yes,market
2026-09-09,CARD-0005,1.75,est_sold,1.99,1,active,no,market
2026-09-09,CARD-0006,1.98,est_sold,2.50,50,active,no,market
2026-09-09,CARD-0007,1.49,est_sold,1.69,32,active,yes,market
2026-09-09,CARD-0008,1.31,est_sold,1.48,6,active,yes,market
2026-09-09,CARD-0009,4.38,est_sold,13.99,35,active,no,market
2026-09-09,CARD-0010,2.31,est_sold,2.62,34,active,yes,market
2026-09-09,CARD-0011,12.99,asking,9.99,1,active,no,market
2026-09-09,CARD-0012,48.39,est_sold,54.99,1,active,no,market
2026-09-09,CARD-0013,59.99,asking,,0,active,no,market
2026-09-09,CARD-0014,49.99,asking,200.00,9,active,no,market
2026-09-09,CARD-0015,47.51,est_sold,67.50,50,active,no,market
2026-09-09,CARD-0016,39.99,asking,127.50,50,active,no,market
2026-09-09,CARD-0017,34.14,est_sold,24.99,11,active,no,market
2026-09-09,CARD-0018,74.99,asking,19.99,50,active,no,market
2026-09-09,CARD-0019,163.67,est_sold,185.99,11,active,yes,market
2026-09-09,CARD-0020,57.19,est_sold,101.60,50,active,no,market
2026-09-09,CARD-0021,189.00,asking,150.00,25,active,no,market
2026-09-09,CARD-0022,349.00,asking,,0,active,no,market
2026-09-09,CARD-0023,24.99,asking,60.00,50,active,no,market
2026-09-09,CARD-0024,87.12,est_sold,65.00,1,active,no,market
2026-09-09,CARD-0025,29.66,est_sold,85.17,28,active,no,market
2026-09-09,CARD-0026,182.60,est_sold,399.00,3,active,no,market
2026-09-09,CARD-0027,44.00,est_sold,50.00,3,active,yes,market
2026-09-09,CARD-0028,132.00,asking,150.00,9,active,yes,market
2026-09-09,CARD-0029,249.00,asking,254.50,50,active,no,market
2026-09-09,CARD-0030,149.00,asking,325.00,28,active,no,market
2026-09-09,CARD-0031,39.59,est_sold,44.99,25,active,yes,market
2026-09-09,CARD-0032,199.00,asking,899.50,50,active,no,market
2026-09-09,MERCH-0001,399.00,asking,119.47,50,active,no,market
2026-09-09,MERCH-0002,449.00,asking,450.00,2,active,no,market
2026-09-09,MERCH-0003,699.00,asking,999.99,1,active,no,market
2026-09-09,CARD-0001,6.99,asking,8.50,50,active,no,market
2026-09-09,CARD-0002,1.98,est_sold,2.25,16,active,yes,market
2026-09-09,CARD-0003,5.27,est_sold,3.49,27,active,no,market
2026-09-09,CARD-0004,1.36,est_sold,1.54,12,active,no,market
2026-09-09,CARD-0005,1.75,est_sold,2.99,50,active,no,market
2026-09-09,CARD-0006,1.98,est_sold,2.50,50,active,no,market
2026-09-09,CARD-0007,1.49,est_sold,1.69,32,active,no,market
2026-09-09,CARD-0008,1.31,est_sold,1.48,6,active,no,market
2026-09-09,CARD-0009,4.38,est_sold,13.47,36,active,no,market
2026-09-09,CARD-0010,2.31,est_sold,2.62,34,active,no,market
2026-09-09,CARD-0011,12.99,asking,8.99,37,active,no,market
2026-09-09,CARD-0012,48.39,est_sold,25.74,24,active,no,market
2026-09-09,CARD-0013,59.99,asking,,0,active,no,market
2026-09-09,CARD-0014,49.99,asking,200.00,9,active,no,market
2026-09-09,CARD-0015,61.59,est_sold,69.99,11,active,yes,market
2026-09-09,CARD-0016,39.99,asking,139.97,50,active,no,market
2026-09-09,CARD-0017,22.43,est_sold,25.49,10,active,yes,market
2026-09-09,CARD-0018,74.99,asking,19.99,50,active,no,market
2026-09-09,CARD-0019,163.67,est_sold,185.99,11,active,no,market
2026-09-09,CARD-0020,57.19,est_sold,35.00,7,active,no,market
2026-09-09,CARD-0021,189.00,asking,542.50,4,active,no,market
2026-09-09,CARD-0022,349.00,asking,162.50,2,active,no,market
2026-09-09,CARD-0023,24.99,asking,55.00,50,active,no,market
2026-09-09,CARD-0024,105.59,est_sold,119.99,3,active,yes,market
2026-09-09,CARD-0025,28.73,est_sold,32.65,4,active,yes,market
2026-09-09,CARD-0026,182.60,est_sold,349.50,4,active,no,market
2026-09-09,CARD-0027,44.00,est_sold,50.00,3,active,no,market
2026-09-09,CARD-0028,132.00,est_sold,150.00,9,active,no,market
2026-09-09,CARD-0029,249.00,asking,105.55,8,active,no,market
2026-09-09,CARD-0030,149.00,asking,72.50,4,active,no,market
2026-09-09,CARD-0031,37.39,est_sold,42.49,24,active,yes,market
2026-09-09,CARD-0032,199.00,asking,924.50,50,active,no,market
2026-09-09,MERCH-0001,220.00,est_sold,525.00,4,merch markdown: 45% haircut after the first real sale,no,correction
2026-09-09,MERCH-0002,250.00,est_sold,450.00,2,merch markdown: 45% haircut after the first real sale,no,correction
2026-09-09,CARD-0001,6.99,asking,8.50,50,active,no,market
2026-09-09,CARD-0002,1.98,est_sold,2.25,16,active,no,market
2026-09-09,CARD-0003,3.07,est_sold,3.49,28,active,no,market
2026-09-09,CARD-0004,1.36,est_sold,1.54,12,active,no,market
2026-09-09,CARD-0005,1.75,est_sold,2.99,50,active,no,market
2026-09-09,CARD-0006,1.98,est_sold,2.50,50,active,no,market
2026-09-09,CARD-0007,1.49,est_sold,1.69,32,active,no,market
2026-09-09,CARD-0008,1.31,est_sold,1.48,6,active,no,market
2026-09-09,CARD-0009,11.85,est_sold,13.47,36,active,no,market
2026-09-09,CARD-0010,2.31,est_sold,2.62,34,active,no,market
2026-09-09,CARD-0011,12.99,asking,8.99,37,active,no,market
2026-09-09,CARD-0012,22.66,est_sold,25.74,24,active,no,market
2026-09-09,CARD-0013,59.99,asking,,0,active,no,market
2026-09-09,CARD-0014,49.99,asking,200.00,9,active,no,market
2026-09-09,CARD-0015,61.59,est_sold,69.99,11,active,no,market
2026-09-09,CARD-0016,39.99,asking,139.97,50,active,no,market
2026-09-09,CARD-0017,22.43,est_sold,25.49,10,active,no,market
2026-09-09,CARD-0018,74.99,asking,19.99,50,active,no,market
2026-09-09,CARD-0019,163.67,est_sold,185.99,11,active,no,market
2026-09-09,CARD-0020,57.19,est_sold,35.00,7,active,no,market
2026-09-09,CARD-0021,189.00,asking,542.50,4,active,no,market
2026-09-09,CARD-0022,349.00,asking,162.50,2,active,no,market
2026-09-09,CARD-0023,24.99,asking,60.00,50,active,no,market
2026-09-09,CARD-0024,105.59,est_sold,119.99,3,active,no,market
2026-09-09,CARD-0025,28.73,est_sold,32.65,4,active,no,market
2026-09-09,CARD-0026,182.60,est_sold,349.50,4,active,no,market
2026-09-09,CARD-0027,44.00,est_sold,50.00,3,active,no,market
2026-09-09,CARD-0028,132.00,est_sold,150.00,9,active,no,market
2026-09-09,CARD-0029,249.00,asking,105.55,8,active,no,market
2026-09-09,CARD-0030,149.00,asking,72.50,4,active,no,market
2026-09-09,CARD-0031,37.39,est_sold,42.49,24,active,no,market
2026-09-09,CARD-0032,199.00,asking,924.50,50,active,no,market
2026-09-09,MERCH-0001,220.00,est_sold,525.00,4,merch markdown: 45% haircut after the first real sale,no,correction
2026-09-09,MERCH-0002,250.00,est_sold,450.00,2,merch markdown: 45% haircut after the first real sale,no,correction
2026-09-10,CARD-0012,9.00,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-10,CARD-0018,19.95,sold,,,re-priced off real eBay sold data (Terapeak),yes,correction
2026-09-10,CARD-0019,101.00,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-10,CARD-0020,34.00,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-10,CARD-0021,55.00,sold,,,re-priced off real eBay sold data (Terapeak),yes,correction
2026-09-10,CARD-0022,152.49,sold,,,re-priced off real eBay sold data (Terapeak),yes,correction
2026-09-10,CARD-0023,21.00,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-10,CARD-0024,53.00,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-10,CARD-0025,28.00,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-10,CARD-0026,177.50,sold,,,re-priced off real eBay sold data (Terapeak),yes,correction
2026-09-10,CARD-0027,12.00,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-10,CARD-0028,67.00,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-10,CARD-0030,96.00,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-10,CARD-0031,23.00,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-10,CARD-0032,617.97,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-10,CARD-0033,338.00,psa,,,re-anchored to the PSA app's own number,yes,correction
2026-09-09,CARD-0029,232.00,sold,,,re-priced onto the owner's own recorded sold comps,yes,correction
